Year,Month,Entry,Exit,Riders
2009,Jan,SH,RM, 22 
2009,Jan,SH,EN, 33 
2009,Jan,SH,EP, 9 
2009,Jan,SH,NB, 8 
2009,Jan,SH,BK, 92 
2009,Jan,SH,AS, 25 
2009,Jan,SH,MA, 65 
2009,Jan,SH,19, 164 
2009,Jan,SH,12, 218 
2009,Jan,SH,LM, 105 
2009,Jan,SH,FV, 109 
2009,Jan,SH,CL, 117 
2009,Jan,SH,SL, 76 
2009,Jan,SH,BF, 137 
2009,Jan,SH,HY, 151 
2009,Jan,SH,SH, 5 
2009,Jan,SH,UC, 66 
2009,Jan,SH,FM, 161 
2009,Jan,SH,CN, 20 
2009,Jan,SH,PH, 10 
2009,Jan,SH,WC, 14 
2009,Jan,SH,LF, 6 
2009,Jan,SH,OR, 5 
2009,Jan,SH,RR, 13 
2009,Jan,SH,OW, 18 
2009,Jan,SH,EM, 382 
2009,Jan,SH,MT, 359 
2009,Jan,SH,PL, 185 
2009,Jan,SH,CC, 191 
2009,Jan,SH,16, 49 
2009,Jan,SH,24, 34 
2009,Jan,SH,GP, 8 
2009,Jan,SH,BP, 16 
2009,Jan,SH,DC, 26 
2009,Jan,SH,CM, 4 
2009,Jan,SH,CV, 20 
2009,Jan,SH,ED, 53 
2009,Jan,SH,NC, 4 
2009,Jan,SH,WP, 18 
2009,Jan,SH,SS, 4 
2009,Jan,SH,SB, 5 
2009,Jan,SH,SO, 7 
2009,Jan,SH,MB, 3 
2009,Jan,UC,RM, 10 
2009,Jan,UC,EN, 34 
2009,Jan,UC,EP, 10 
2009,Jan,UC,NB, 10 
2009,Jan,UC,BK, 143 
2009,Jan,UC,AS, 21 
2009,Jan,UC,MA, 73 
2009,Jan,UC,19, 180 
2009,Jan,UC,12, 229 
2009,Jan,UC,LM, 120 
2009,Jan,UC,FV, 81 
2009,Jan,UC,CL, 127 
2009,Jan,UC,SL, 62 
2009,Jan,UC,BF, 149 
2009,Jan,UC,HY, 186 
2009,Jan,UC,SH, 66 
2009,Jan,UC,UC, 5 
2009,Jan,UC,FM, 177 
2009,Jan,UC,CN, 19 
2009,Jan,UC,PH, 14 
2009,Jan,UC,WC, 14 
2009,Jan,UC,LF, 5 
2009,Jan,UC,OR, 4 
2009,Jan,UC,RR, 11 
2009,Jan,UC,OW, 16 
2009,Jan,UC,EM, 659 
2009,Jan,UC,MT, 559 
2009,Jan,UC,PL, 234 
2009,Jan,UC,CC, 218 
2009,Jan,UC,16, 37 
2009,Jan,UC,24, 19 
2009,Jan,UC,GP, 12 
2009,Jan,UC,BP, 17 
2009,Jan,UC,DC, 35 
2009,Jan,UC,CM, 9 
2009,Jan,UC,CV, 17 
2009,Jan,UC,ED, 52 
2009,Jan,UC,NC, 1 
2009,Jan,UC,WP, 16 
2009,Jan,UC,SS, 5 
2009,Jan,UC,SB, 6 
2009,Jan,UC,SO, 14 
2009,Jan,UC,MB, 3 
2009,Jan,FM,RM, 37 
2009,Jan,FM,EN, 80 
2009,Jan,FM,EP, 42 
2009,Jan,FM,NB, 32 
2009,Jan,FM,BK, 273 
2009,Jan,FM,AS, 62 
2009,Jan,FM,MA, 139 
2009,Jan,FM,19, 386 
2009,Jan,FM,12, 465 
2009,Jan,FM,LM, 179 
2009,Jan,FM,FV, 142 
2009,Jan,FM,CL, 201 
2009,Jan,FM,SL, 88 
2009,Jan,FM,BF, 246 
2009,Jan,FM,HY, 362 
2009,Jan,FM,SH, 157 
2009,Jan,FM,UC, 173 
2009,Jan,FM,FM, 19 
2009,Jan,FM,CN, 24 
2009,Jan,FM,PH, 23 
2009,Jan,FM,WC, 21 
2009,Jan,FM,LF, 8 
2009,Jan,FM,OR, 9 
2009,Jan,FM,RR, 31 
2009,Jan,FM,OW, 24 
2009,Jan,FM,EM," 1,324 "
2009,Jan,FM,MT, 962 
2009,Jan,FM,PL, 446 
2009,Jan,FM,CC, 381 
2009,Jan,FM,16, 70 
2009,Jan,FM,24, 35 
2009,Jan,FM,GP, 24 
2009,Jan,FM,BP, 29 
2009,Jan,FM,DC, 46 
2009,Jan,FM,CM, 10 
2009,Jan,FM,CV, 28 
2009,Jan,FM,ED, 72 
2009,Jan,FM,NC, 6 
2009,Jan,FM,WP, 33 
2009,Jan,FM,SS, 7 
2009,Jan,FM,SB, 11 
2009,Jan,FM,SO, 36 
2009,Jan,FM,MB, 7 
